"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.467396 "Rent" 2001-02-25 6 2 39
1.003669 "The Lion King" 2001-02-25 8 2 39
0.672113 "The Phantom of the Opera" 2001-02-25 9 2 39
0.560452 "Beauty and the Beast" 2001-03-04 1 2 40
0.507193 "Chicago" 2001-03-04 2 2 40
0.412237 "Les Miserables" 2001-03-04 4 2 40
0.372606 "Rent" 2001-03-04 6 2 40
1.002691 "The Lion King" 2001-03-04 8 2 40
0.602451 "The Phantom of the Opera" 2001-03-04 9 2 40
0.605723 "Beauty and the Beast" 2001-03-11 1 2 41
0.469708 "Chicago" 2001-03-11 2 2 41
0.444899 "Les Miserables" 2001-03-11 4 2 41
0.420795 "Rent" 2001-03-11 6 2 41
1.00165 "The Lion King" 2001-03-11 8 2 41
0.587135 "The Phantom of the Opera" 2001-03-11 9 2 41
0.628089 "Beauty and the Beast" 2001-03-18 1 2 42
0.465865 "Chicago" 2001-03-18 2 2 42
0.554185 "Les Miserables" 2001-03-18 4 2 42
0.4654 "Rent" 2001-03-18 6 2 42
1.000294 "The Lion King" 2001-03-18 8 2 42
0.685335 "The Phantom of the Opera" 2001-03-18 9 2 42
0.645975 "Beauty and the Beast" 2001-03-25 1 2 43
0.491287 "Chicago" 2001-03-25 2 2 43
0.513265 "Les Miserables" 2001-03-25 4 2 43
0.460457 "Rent" 2001-03-25 6 2 43
1.000684 "The Lion King" 2001-03-25 8 2 43
0.675928 "The Phantom of the Opera" 2001-03-25 9 2 43
0.623577 "Beauty and the Beast" 2001-04-01 1 2 44
0.493311 "Chicago" 2001-04-01 2 2 44
0.511911 "Les Miserables" 2001-04-01 4 2 44
0.442783 "Rent" 2001-04-01 6 2 44
0.999755 "The Lion King" 2001-04-01 8 2 44
0.694216 "The Phantom of the Opera" 2001-04-01 9 2 44
0.651938 "Beauty and the Beast" 2001-04-08 1 2 45
0.383928 "Chicago" 2001-04-08 2 2 45
0.467799 "Les Miserables" 2001-04-08 4 2 45
0.385207 "Rent" 2001-04-08 6 2 45
1.001819 "The Lion King" 2001-04-08 8 2 45
0.667907 "The Phantom of the Opera" 2001-04-08 9 2 45
0.715794 "Beauty and the Beast" 2001-04-15 1 2 46
0.504712 "Chicago" 2001-04-15 2 2 46
0.600032 "Les Miserables" 2001-04-15 4 2 46
0.461342 "Rent" 2001-04-15 6 2 46
0.996904 "The Lion King" 2001-04-15 8 2 46
0.837632 "The Phantom of the Opera" 2001-04-15 9 2 46
0.685092 "Beauty and the Beast" 2001-04-22 1 2 47
0.536134 "Chicago" 2001-04-22 2 2 47
0.568893 "Les Miserables" 2001-04-22 4 2 47
0.451505 "Rent" 2001-04-22 6 2 47
0.998001 "The Lion King" 2001-04-22 8 2 47
0.821705 "The Phantom of the Opera" 2001-04-22 9 2 47
0.618011 "Beauty and the Beast" 2001-04-29 1 2 48
0.487294 "Chicago" 2001-04-29 2 2 48
0.468687 "Les Miserables" 2001-04-29 4 2 48
0.417256 "Rent" 2001-04-29 6 2 48
0.998922 "The Lion King" 2001-04-29 8 2 48
0.663108 "The Phantom of the Opera" 2001-04-29 9 2 48
0.612679 "Beauty and the Beast" 2001-05-06 1 2 49
0.432542 "Chicago" 2001-05-06 2 2 49
0.443812 "Les Miserables" 2001-05-06 4 2 49
0.371823 "Rent" 2001-05-06 6 2 49
0.999899 "The Lion King" 2001-05-06 8 2 49
0.64562 "The Phantom of the Opera" 2001-05-06 9 2 49
0.561741 "Beauty and the Beast" 2001-05-13 1 2 50
0.369173 "Chicago" 2001-05-13 2 2 50
0.405948 "Les Miserables" 2001-05-13 4 2 50
0.322969 "Rent" 2001-05-13 6 2 50
1.00533 "The Lion King" 2001-05-13 8 2 50
0.585463 "The Phantom of the Opera" 2001-05-13 9 2 50
